name-file,prob-classe0,prob-classe1
1 V6.png,0.9474483,0.052551676
10 V6.png,0.9631945,0.03680549
11 V6.png,0.89849395,0.10150605
12 V6.png,0.094065405,0.9059346
13 V6.png,0.10946787,0.89053214
14 V6.png,0.9754351,0.02456494
15 V6.png,0.3370217,0.6629783
16 V6.png,0.6156931,0.38430694
17 V6.png,0.00018181329,0.99981827
18 V6.png,0.47384876,0.52615124
19 V6.png,0.9842525,0.015747521
2 V6.png,0.9974669,0.0025330577
20 V6.png,0.97686356,0.023136422
21 V6.png,0.7361427,0.26385728
22 V6.png,0.021566126,0.9784339
23 V6.png,0.98191327,0.018086737
24 V6.png,0.99367046,0.0063295458
25 V6.png,0.87866026,0.12133973
26 V6.png,0.93395495,0.06604501
27 V6.png,0.8988941,0.10110591
28 V6.png,0.0015037288,0.9984963
29 V6.png,0.37670803,0.62329197
3 V6.png,0.7834891,0.21651086
30 V6.png,0.9240454,0.07595458
31 V6.png,0.19804029,0.80195975
32 V6.png,0.98292243,0.01707756
33 V6.png,0.6723643,0.32763574
34 V6.png,0.99043006,0.009569948
35 V6.png,0.9015345,0.09846551
36 V6.png,0.9650705,0.03492946
37 V6.png,0.9483914,0.051608674
38 V6.png,0.94475585,0.055244192
39 V6.png,0.00040592303,0.99959403
4 V6.png,0.99422425,0.005775798
40 V6.png,0.7954464,0.20455363
41 V6.png,0.9070839,0.0929161
42 V6.png,0.99191564,0.008084346
43 V6.png,0.85269326,0.1473067
44 V6.png,0.006758708,0.9932413
45 V6.png,0.16973417,0.8302659
46 V6.png,0.65542096,0.344579
47 V6.png,0.71507293,0.284927
48 V6.png,0.8076389,0.19236112
49 V6.png,0.9969939,0.0030060732
5 V6.png,0.15468346,0.8453166
50 V6.png,0.9624686,0.037531413
51 V6.png,0.97689384,0.023106134
52 V6.png,0.9961443,0.0038556308
53 V6.png,0.8687073,0.13129263
54 V6.png,0.9952254,0.0047745723
55 V6.png,0.14860542,0.8513946
56 V6.png,0.9884427,0.011557289
57 V6.png,0.8810233,0.11897672
58 V6.png,0.9948762,0.0051237526
59 V6.png,0.8133723,0.18662766
6 V6.png,0.98713547,0.012864571
60 V6.png,0.41703105,0.58296895
61 V6.png,0.9059605,0.09403955
62 V6.png,0.7784723,0.22152768
63 V6.png,0.28813177,0.7118682
64 V6.png,0.0654776,0.93452245
65 V6.png,0.9742216,0.025778372
66 V6.png,0.22065121,0.7793488
67 V6.png,0.93949246,0.060507484
68 V6.png,0.9924919,0.0075081293
69 V6.png,0.5179788,0.48202127
7 V6.png,0.9570224,0.04297753
70 V6.png,0.9922288,0.0077711926
71 V6.png,0.990071,0.009929085
8 V6.png,0.7520944,0.24790564
9 V6.png,0.037898235,0.9621018
