name-file,prob-classe0,prob-classe1
11533391145_7b8324769a_o.jpg,0.95184326,0.048156723
11555629115_1cf51df8e2_o.jpg,0.9523089,0.047691155
11615406925_e4496e615d_o.jpg,0.96208715,0.03791285
11616125406_bc40ae0587_o.jpg,0.9911436,0.008856417
12178067993_5bddaaa7cc_o.jpg,0.98476344,0.015236576
14151984182_b83665e18d_o.jpg,0.9856135,0.014386453
14499993322_cf7d26a413_o.jpg,0.96836513,0.031634875
14714999679_c951b0bc98_o.jpg,0.97658837,0.023411635
16854896575_027195e35e_o.jpg,0.00042763632,0.99957234
18815802284_b78ef23e7d_o.jpg,0.90446824,0.095531836
19022481739_7e409b2098_o.jpg,0.9913769,0.0086231185
19022516689_14d0ec3d1f_o.jpg,0.9694419,0.0305581
19084974190_333987f8fd_o.jpg,0.6158876,0.38411242
19125522283_d84573d1fa_o.jpg,0.4358589,0.5641411
19202770832_26df54fa17_o.jpg,0.851686,0.14831397
19263056658_b02d0f41bb_o.jpg,0.99482864,0.00517137
19405500780_4ac91e863e_o.jpg,0.9663186,0.03368135
19406894759_e659fd19a0_o.jpg,0.96286654,0.03713346
19442201141_aca631dace_o.jpg,0.9984201,0.0015798339
19567318996_d8e18f680e_o.jpg,0.9977985,0.0022014617
22858990581_63e3aaf1a2_o.jpg,0.00039432745,0.9996057
25561159834_2d5238d74a_o.jpg,0.4328133,0.5671867
28446497399_a315914861_o.jpg,0.0129003115,0.9870997
28878622678_f3c5c5edf1_o.jpg,0.37404513,0.62595487
29208437650_1ac886a427_o.jpg,0.9669438,0.033056185
34149762504_3140eef999_o.jpg,0.8615573,0.13844265
35895012446_2931c1a41f_o.jpg,0.7827664,0.21723355
36123854882_f1d8b8cfb5_o.jpg,0.9798753,0.020124683
36551914242_2603942bff_o.jpg,0.025397995,0.974602
43558496385_6fab96b825_o.jpg,0.9799099,0.020090075
43750429694_099580c272_o.jpg,0.0045241113,0.99547595
51263673211_64f94657bd_o.jpg,0.81753874,0.18246123
51521655007_71d8612308_o.jpg,0.00025531635,0.9997447
51523170084_f7bed22733_o.jpg,0.23391747,0.7660825
51523370310_5edeac2523_o.jpg,0.9911776,0.008822372
51561139840_07c2e6096b_o.jpg,0.9091993,0.09080073
51859998648_307eabdac3_o.jpg,0.5542503,0.44574967
53080776687_be8f733393_o.jpg,0.99152946,0.008470561
53081287271_5eb5e2b58a_o.jpg,0.9966414,0.0033586626
5828527701_1db4b0e718_o.jpg,0.63872707,0.361273
